Route,Point,Date,Time,Cloud.Cover,Temperature,Wind.Speed,Disturbance,Precipitation,replicate
4,1,2/27/2020,6:41,100,-3.9,2,2,None,1
4,2,2/27/2020,6:56,100,-3.3,0,3,None,1
4,3,2/27/2020,7:11,100,-2.2,1,2,None,1
4,4,2/27/2020,7:26,100,-2.8,1,2,None,1
4,5,2/27/2020,7:39,75,-2.2,1,3,None,1
4,6,2/27/2020,7:54,75,-1.1,1,2,None,1
4,7,2/27/2020,8:07,75,-1.1,0,2,None,1
4,8,2/27/2020,8:19,75,-1.1,2,1,None,1
4,9,2/27/2020,8:36,75,-1.1,1,1,None,1
4,10,2/27/2020,8:49,50,-1.1,2,2,None,1
92,1,2/27/2020,6:42,100,-3.9,3,2,Lt. Rain,1
92,2,2/27/2020,7:05,100,-3.9,4,2,None,1
92,3,2/27/2020,7:25,100,-3.9,4,2,Lt. Rain,1
92,4,2/27/2020,7:39,75,-3.9,4,2,None,1
92,5,2/27/2020,7:55,100,-3.9,4,1,Lt. Rain,1
92,6,2/27/2020,8:10,100,-3.9,3,1,Lt. Rain,1
92,7,2/27/2020,8:25,100,-3.9,2,1,Lt. Rain,1
92,8,2/27/2020,8:39,75,-1.1,4,2,Lt. Rain,1
92,9,2/27/2020,8:53,75,-1.1,1,2,None,1
92,10,2/27/2020,9:06,75,-1.1,0,2,None,1
92,11,2/27/2020,9:20,75,-1.1,2,1,None,1
92,12,2/27/2020,9:34,75,-1.1,2,1,None,1
65,1,2/29/2020,6:42,50,1.1,1,2,None,1
65,2,2/29/2020,6:58,85,1.1,1,3,Lt. Rain,1
65,3,2/29/2020,7:13,50,1.1,2,2,Lt. Rain,1
65,4,2/29/2020,7:27,50,1.1,2,2,None,1
65,5,2/29/2020,7:46,50,0.0,1,2,None,1
65,6,2/29/2020,8:06,50,-1.1,0,2,None,1
65,7,2/29/2020,8:23,30,-1.1,3,1,None,1
122,1,3/1/2020,6:38,25,-3.9,0,1,None,1
122,2,3/1/2020,6:51,15,-3.9,2,1,None,1
122,3,3/1/2020,7:04,40,-3.9,0,1,None,1
122,4,3/1/2020,7:17,30,-3.9,2,1,None,1
122,5,3/1/2020,7:30,30,-3.9,1,1,None,1
122,6,3/1/2020,7:44,40,-5.0,1,1,None,1
122,7,3/1/2020,8:03,25,-3.9,1,1,None,1
122,8,3/1/2020,8:20,10,-3.9,0,3,None,1
122,9,3/1/2020,8:33,5,-3.9,1,2,None,1
122,10,3/1/2020,8:46,5,-1.1,0,1,None,1
122,11,3/1/2020,9:00,0,-1.1,0,2,None,1
23,1,3/4/2020,6:29,100,8.9,0,3,None,1
23,2,3/4/2020,6:45,100,8.9,0,3,None,1
23,3,3/4/2020,7:01,100,10.0,0,2,None,1
23,4,3/4/2020,7:18,100,10.0,0,1,None,1
23,5,3/4/2020,7:33,100,10.0,0,1,None,1
23,6,3/4/2020,7:48,90,10.0,0,2,None,1
23,7,3/4/2020,8:06,100,10.0,0,1,None,1
23,8,3/4/2020,8:26,100,10.0,0,1,None,1
23,9,3/4/2020,9:06,100,11.1,0,1,None,1
30,1,3/4/2020,6:37,100,10.0,0,2,None,1
30,2,3/4/2020,6:50,100,10.0,0,1,None,1
30,3,3/4/2020,7:09,95,10.0,1,1,None,1
30,4,3/4/2020,7:21,100,10.0,0,1,None,1
30,5,3/4/2020,7:34,100,10.0,0,1,None,1
30,6,3/4/2020,7:46,95,10.0,1,1,None,1
30,7,3/4/2020,7:59,85,10.0,0,1,None,1
30,8,3/4/2020,8:12,75,10.0,0,2,None,1
30,9,3/4/2020,8:26,95,10.0,0,2,None,1
30,10,3/4/2020,8:40,95,10.0,1,2,None,1
30,11,3/4/2020,8:56,100,7.2,0,2,None,1
30,12,3/4/2020,9:11,95,7.2,0,1,None,1
30,13,3/4/2020,9:25,95,10.0,0,4,None,1
66,1,3/5/2020,6:34,100,7.2,0,1,Lt. Rain,1
66,2,3/5/2020,6:50,100,7.2,0,2,Lt. Rain,1
66,3,3/5/2020,7:05,90,7.8,0,2,Lt. Rain,1
66,4,3/5/2020,7:19,95,7.8,0,3,None,1
66,5,3/5/2020,7:32,100,7.2,0,4,None,1
66,6,3/5/2020,7:46,100,6.7,0,4,None,1
66,7,3/5/2020,7:59,100,8.9,0,3,None,1
66,8,3/5/2020,8:12,100,8.9,0,1,None,1
66,9,3/5/2020,8:29,100,8.9,0,4,Lt. Rain,1
66,10,3/5/2020,8:44,100,8.9,0,3,Lt. Rain,1
123,1,3/6/2020,6:28,0,3.9,2,2,None,1
123,2,3/6/2020,6:42,0,3.9,2,1,None,1
123,3,3/6/2020,6:57,0,3.9,1,2,None,1
123,4,3/6/2020,7:13,0,3.3,0,1,None,1
123,5,3/6/2020,7:26,0,4.4,0,3,None,1
123,6,3/6/2020,7:40,0,4.4,3,3,None,1
123,7,3/6/2020,7:53,0,4.4,4,3,None,1
123,8,3/6/2020,8:06,0,4.4,4,2,None,1
123,9,3/6/2020,8:19,0,4.4,3,2,None,1
123,10,3/6/2020,8:33,0,4.4,4,1,None,1
123,11,3/6/2020,8:47,0,4.4,4,3,None,1
123,12,3/6/2020,9:07,0,4.4,4,2,None,1
123,13,3/6/2020,9:23,0,4.4,4,3,None,1
11,1,3/7/2020,6:42,10,-2.2,0,1,None,1
11,2,3/7/2020,6:55,10,-2.2,2,1,None,1
11,3,3/7/2020,7:08,0,-2.2,0,1,None,1
11,4,3/7/2020,7:21,0,-2.2,0,1,None,1
11,5,3/7/2020,7:34,0,-2.2,1,1,None,1
11,6,3/7/2020,7:46,0,-2.2,0,1,None,1
11,7,3/7/2020,8:00,0,-2.2,1,2,None,1
11,8,3/7/2020,8:14,0,-2.2,1,2,None,1
11,9,3/7/2020,8:26,0,-2.2,3,1,None,1
11,10,3/7/2020,8:40,0,-1.1,2,2,None,1
11,11,3/7/2020,9:00,0,-1.1,2,3,None,1
231,1,3/7/2020,6:26,0,-2.2,0,2,None,1
231,2,3/7/2020,6:42,0,-2.2,0,2,None,1
231,3,3/7/2020,6:54,0,-2.2,0,2,None,1
231,4,3/7/2020,7:06,0,-2.2,0,3,None,1
231,5,3/7/2020,7:19,0,-2.2,0,4,None,1
231,6,3/7/2020,7:33,0,-2.2,0,5,None,1
231,7,3/7/2020,7:47,0,-2.2,0,4,None,1
231,8,3/7/2020,7:59,0,-1.1,1,4,None,1
231,9,3/7/2020,8:12,0,-1.1,0,4,None,1
231,10,3/7/2020,8:28,0,-1.1,1,5,None,1
35,1,3/8/2020,7:27,5,-1.1,0,2,None,1
35,2,3/8/2020,7:39,5,-1.1,0,2,None,1
35,3,3/8/2020,7:52,5,-1.1,0,2,None,1
35,4,3/8/2020,8:04,5,-1.1,0,2,None,1
35,5,3/8/2020,8:19,0,-1.1,0,1,None,1
35,6,3/8/2020,8:34,10,-1.1,0,1,None,1
35,7,3/8/2020,8:50,0,-1.1,0,2,None,1
35,8,3/8/2020,9:07,10,-1.1,0,3,None,1
35,9,3/8/2020,9:21,15,-1.1,1,1,None,1
35,10,3/8/2020,9:36,10,-1.1,0,2,None,1
96,1,3/8/2020,7:28,5,-2.2,0,2,None,1
96,2,3/8/2020,7:43,15,-2.2,0,1,None,1
96,3,3/8/2020,8:00,10,-2.2,0,2,None,1
96,4,3/8/2020,8:16,5,-2.2,0,2,None,1
96,5,3/8/2020,8:36,25,-2.2,0,2,None,1
96,6,3/8/2020,8:51,25,-1.1,0,2,None,1
96,7,3/8/2020,9:05,30,-1.1,0,1,None,1
96,8,3/8/2020,9:21,30,-1.1,1,2,None,1
96,9,3/8/2020,9:38,35,1.1,0,4,None,1
96,10,3/8/2020,9:54,25,2.8,1,3,None,1
96,11,3/8/2020,10:11,20,2.8,2,4,None,1
34,1,3/9/2020,7:26,0,2.8,0,4,None,1
34,2,3/9/2020,7:41,5,1.7,0,4,None,1
34,3,3/9/2020,7:53,10,2.2,0,4,None,1
34,4,3/9/2020,8:05,10,2.2,1,3,None,1
34,5,3/9/2020,8:23,15,2.2,0,4,None,1
34,6,3/9/2020,8:35,15,2.8,0,2,None,1
34,7,3/9/2020,8:48,50,1.1,0,2,None,1
34,8,3/9/2020,9:03,50,2.8,0,3,None,1
34,9,3/9/2020,9:16,20,3.9,0,4,None,1
34,10,3/9/2020,9:33,10,3.3,0,3,None,1
34,11,3/9/2020,9:46,5,3.9,0,4,None,1
67,1,3/9/2020,7:25,5,1.1,0,3,None,1
67,2,3/9/2020,7:40,10,1.1,0,5,None,1
67,3,3/9/2020,7:54,15,1.1,0,5,None,1
67,4,3/9/2020,8:16,10,2.2,1,5,None,1
67,5,3/9/2020,8:32,5,2.2,1,5,None,1
67,6,3/9/2020,8:47,10,2.2,0,4,None,1
67,7,3/9/2020,9:02,10,2.2,0,3,None,1
67,8,3/9/2020,9:16,20,2.2,1,5,None,1
67,9,3/9/2020,9:32,20,3.9,1,2,None,1
7,1,3/11/2020,7:24,75,12.8,1,2,None,1
7,2,3/11/2020,7:37,75,12.8,1,3,None,1
7,3,3/11/2020,7:51,60,12.8,1,1,None,1
7,4,3/11/2020,8:04,60,12.8,1,2,None,1
7,5,3/11/2020,8:17,90,12.8,1,3,None,1
7,6,3/11/2020,8:30,90,12.8,0,2,None,1
7,7,3/11/2020,8:42,90,12.8,0,2,None,1
7,8,3/11/2020,8:55,60,12.8,1,2,None,1
7,9,3/11/2020,9:07,25,13.3,0,4,None,1
7,10,3/11/2020,9:21,40,13.3,0,2,None,1
7,11,3/11/2020,9:35,40,13.9,0,2,None,1
7,12,3/11/2020,9:49,20,14.4,1,1,None,1
7,13,3/11/2020,10:03,30,14.4,0,2,None,1
7,14,3/11/2020,10:15,10,15.0,0,1,None,1
7,15,3/11/2020,10:27,15,15.6,1,1,None,1
24,1,3/11/2020,7:20,100,10.0,1,2,Lt. Rain,1
24,2,3/11/2020,7:38,100,10.0,1,2,Lt. Rain,1
24,3,3/11/2020,7:52,75,10.0,2,3,None,1
24,4,3/11/2020,8:06,50,11.1,1,1,None,1
24,5,3/11/2020,8:19,40,11.1,0,1,None,1
24,6,3/11/2020,8:33,15,12.8,0,1,None,1
24,7,3/11/2020,8:46,15,12.8,0,1,None,1
24,8,3/11/2020,8:59,50,12.8,0,1,None,1
24,9,3/11/2020,9:12,80,12.8,1,2,None,1
24,10,3/11/2020,9:26,50,12.8,0,1,None,1
24,11,3/11/2020,9:39,0,12.8,0,2,None,1
24,12,3/11/2020,9:52,15,13.9,0,1,None,1
15,1,3/12/2020,7:20,100,10.0,0,1,None,1
15,2,3/12/2020,7:33,100,10.0,1,4,None,1
15,3,3/12/2020,7:46,100,10.0,0,4,None,1
15,4,3/12/2020,8:01,100,10.0,1,3,None,1
15,5,3/12/2020,8:18,45,10.0,0,1,Lt. Rain,1
15,6,3/12/2020,8:31,25,11.1,1,1,None,1
15,7,3/12/2020,8:51,90,11.1,1,1,None,1
15,8,3/12/2020,9:17,90,11.1,0,1,None,1
15,9,3/12/2020,9:39,100,11.1,1,1,None,1
98,1,3/12/2020,7:22,100,9.4,1,2,None,1
98,2,3/12/2020,7:34,100,9.4,1,2,None,1
98,3,3/12/2020,7:47,100,9.4,0,2,None,1
98,4,3/12/2020,8:01,95,10.0,0,2,None,1
98,5,3/12/2020,8:15,100,11.1,1,2,Lt. Rain,1
98,6,3/12/2020,8:31,100,11.1,0,4,Lt. Rain,1
98,7,3/12/2020,8:54,80,11.1,1,2,None,1
98,8,3/12/2020,9:12,80,11.1,1,1,None,1
69,1,3/13/2020,7:21,100,16.1,1,2,Lt. Rain,1
69,2,3/13/2020,7:34,100,16.1,1,2,Lt. Rain,1
69,3,3/13/2020,7:49,100,16.1,0,2,Lt. Rain,1
69,4,3/13/2020,8:03,100,16.1,1,2,Lt. Rain,1
69,5,3/13/2020,8:17,100,16.1,0,3,Lt. Rain,1
69,6,3/13/2020,8:31,100,16.7,1,2,Lt. Rain,1
69,7,3/13/2020,8:47,100,16.7,1,2,Lt. Rain,1
69,8,3/13/2020,9:05,100,16.7,0,3,Lt. Rain,1
69,9,3/13/2020,9:20,100,17.2,1,5,Rain,1
69,10,3/13/2020,9:43,100,17.2,0,2,Rain,1
69,11,3/13/2020,10:04,100,17.8,0,2,Lt. Rain,1
204,1,3/13/2020,7:25,100,15.6,2,2,None,1
204,2,3/13/2020,7:37,100,15.6,1,2,None,1
204,3,3/13/2020,7:51,100,16.7,1,2,None,1
204,4,3/13/2020,8:04,100,16.7,2,2,Lt. Rain,1
204,5,3/13/2020,8:16,100,16.7,0,3,Lt. Rain,1
204,6,3/13/2020,8:27,100,17.2,0,3,Lt. Rain,1
204,7,3/13/2020,8:40,95,16.7,1,4,Lt. Rain,1
204,8,3/13/2020,8:51,100,17.8,1,5,Lt. Rain,1
204,9,3/13/2020,9:04,100,17.2,0,4,Lt. Rain,1
204,10,3/13/2020,9:14,100,17.8,1,3,Lt. Rain,1
204,11,3/13/2020,9:27,100,16.7,1,5,Lt. Rain,1
204,12,3/13/2020,9:39,95,16.7,0,2,Lt. Rain,1
9,1,3/14/2020,7:19,100,10.0,1,3,None,1
9,2,3/14/2020,7:32,100,10.0,1,1,None,1
9,3,3/14/2020,7:49,80,10.0,1,2,None,1
9,4,3/14/2020,8:00,75,10.0,1,3,None,1
9,5,3/14/2020,8:17,50,10.0,0,2,None,1
9,6,3/14/2020,8:32,80,10.0,0,2,None,1
9,7,3/14/2020,8:46,95,10.0,0,2,None,1
9,8,3/14/2020,8:58,95,10.0,0,2,None,1
9,9,3/14/2020,9:09,95,11.1,2,1,None,1
9,10,3/14/2020,9:25,95,12.2,1,1,None,1
9,11,3/14/2020,9:52,100,12.2,0,1,None,1
51,1,3/14/2020,7:15,100,10.6,0,1,None,1
51,2,3/14/2020,7:28,100,10.6,0,1,None,1
51,3,3/14/2020,7:42,80,10.6,0,2,None,1
51,4,3/14/2020,7:57,75,10.6,0,3,None,1
51,5,3/14/2020,8:13,90,10.6,0,1,None,1
51,6,3/14/2020,8:26,90,10.6,1,1,None,1
51,7,3/14/2020,8:40,100,10.6,1,2,None,1
51,8,3/14/2020,8:54,90,10.6,1,1,None,1
